Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	0.999608922859	1.09229093263	3.67812053401e-09
2.0	0.999608922859	1.09229093263	3.67812053401e-09
3.0	1.09910002223	1.39112074267	3.67811979776e-09
4.0	1.17696188792	1.51048475747	1.90068958558e-09
5.0	1.28218720344	1.65530664576	1.90068925859e-09
6.0	1.16792797999	1.47417165008	1.90068901051e-09
7.0	1.69183650503	2.07268750555	1.90068776419e-09
8.0	2.66798404054	2.85437173947	7.38205612634e-10
9.0	3.84929290949	3.4502758551	2.58059684609e-10
10.0	2.32477927349	2.52899628708	2.58059585166e-10
11.0	2.97716320105	2.92563126596	1.5371031845e-10
12.0	3.86298027011	3.33873419747	1.53710153982e-10
13.0	4.91954296342	3.75525866219	1.46463642126e-10
14.0	6.36012559912	4.2261303617	2.93773248845e-11
15.0	8.08292512237	4.71179011535	1.97952263799e-13
16.0	10.0185069799	5.17523791544	3.52165085216e-19
17.0	12.4370718783	5.69835463375	7.79236853742e-19
18.0	15.1552652049	6.19375446754	7.79236853742e-19
19.0	18.262617882	6.6466032242	7.79236853742e-19
20.0	21.29679489	7.06293135468	1.83438829612e-20
21.0	24.9279073873	7.52600828827	2.39899003059e-27
22.0	28.9238828344	7.98846136516	2.39899003059e-27
23.0	33.2672649661	8.44436075423	2.39899003059e-27
24.0	38.1768810901	8.9069209427	1.33824912017e-35
25.0	44.9951185031	9.37680381443	1.33824912017e-35
26.0	46.8938863555	9.41384251984	6.55822959109e-29
27.0	52.676166686	9.83820546441	5.01355343173e-29
28.0	58.8574366632	10.2645204369	5.01355343173e-29
29.0	65.7864134026	10.6134184026	5.01355343173e-29
30.0	72.5609647824	11.0097154233	8.44133805233e-51
31.0	80.7642455453	11.4461728317	2.11568943002e-41
32.0	92.3865132836	11.9726972053	9.7562594664e-41
33.0	99.8538601652	12.2882616875	9.7562594664e-41
34.0	109.681601593	12.7289147719	1.06057999578e-19
35.0	123.128487309	13.1377930936	1.06057999578e-19
36.0	133.689212939	13.5360085353	2.25411576778e-37
37.0	145.049273992	13.9579076257	2.32832087093e-131
38.0	150.69684248	14.099509664	1.75871881519e-303
39.0	163.653486694	14.5376641554	5.56268464627e-309
40.0	171.160125719	14.6988381762	4.6857855605e-69
41.0	182.841415286	15.04409053	2.81909385064e-103
42.0	198.860432806	15.5098983218	1.39072882939e-42
43.0	223.728724985	16.1033259678	1.39072882939e-42
44.0	240.758049556	16.5412171874	1.39072882939e-42
45.0	256.460075736	16.8746328172	5.56268464627e-309
46.0	277.547384385	17.2569798083	2.16976693123e-24
47.0	311.893117942	17.8646919215	5.56268464627e-309
48.0	333.73993535	18.2873952017	5.56268464627e-309
49.0	357.440280907	18.7336975577	5.56268464627e-309
50.0	392.31387926	19.1745671366	5.56268464627e-309
51.0	419.051436208	19.6251873424	4.54284758564e-202
